Order_ID,Customer_ID,Partner_ID,Order_Date,Payment_Mode,Delivery_Time_Min,Delivery_Status
O000001,C03094,D0081,25-10-2021,Cash,17,Late
O000002,C02682,D0324,08-04-2023,UPI,8,Delivered
O000003,C01044,D0128,18-03-2021,Card,22,Late
O000004,C00320,D0191,22-02-2023,Wallet,36,Delivered
O000005,C01512,D0185,11-06-2021,Cash,41,Cancelled
O000006,C00357,D0423,22-06-2022,UPI,41,Cancelled
O000007,C01360,D0396,01-11-2025,UPI,29,Delivered
O000008,C03382,D0207,03-06-2023,UPI,53,Cancelled
O000009,C00941,D0436,04-01-2022,Card,45,Delivered
O000010,C03997,D0270,08-02-2024,Cash,57,Late
O000011,C03981,D0326,11-06-2024,UPI,45,Cancelled
O000012,C03127,D0410,01-02-2022,Wallet,13,Late
O000013,C01152,D0243,12-03-2023,Cash,43,Late
O000014,C02481,D0156,15-11-2021,UPI,17,Delivered
O000015,C02127,D0356,12-02-2024,Card,24,Cancelled
O000016,C04459,D0429,16-03-2023,Card,54,Delivered
O000017,C02002,D0445,04-08-2023,Card,37,Delivered
O000018,C02460,D0188,27-03-2021,Card,12,Delivered
O000019,C04367,D0017,25-11-2024,Card,32,Cancelled
O000020,C03119,D0324,17-04-2024,UPI,24,Delivered
O000021,C04951,D0391,25-05-2022,Wallet,8,Late
O000022,C00699,D0013,25-06-2022,Wallet,58,Delivered
O000023,C04108,D0291,03-09-2025,UPI,14,Cancelled
O000024,C01026,D0376,08-10-2022,Wallet,50,Cancelled
O000025,C04910,D0074,25-12-2025,Cash,54,Late
O000026,C03353,D0287,05-02-2024,Card,26,Delivered
O000027,C00371,D0113,21-06-2022,UPI,25,Delivered
O000028,C01623,D0387,23-05-2021,UPI,15,Cancelled
O000029,C00849,D0160,20-01-2021,Cash,13,Cancelled
O000030,C01897,D0081,07-10-2022,UPI,36,Cancelled
O000031,C00019,D0159,01-10-2022,Wallet,10,Cancelled
O000032,C02959,D0213,03-01-2021,Cash,58,Delivered
O000033,C03166,D0233,24-07-2021,Cash,50,Cancelled
O000034,C03759,D0270,12-03-2022,UPI,9,Delivered
O000035,C00857,D0135,16-07-2025,Cash,56,Late
O000036,C02227,D0162,29-08-2023,Card,56,Delivered
O000037,C03750,D0168,16-09-2024,Wallet,46,Late
O000038,C00448,D0233,26-01-2025,Cash,9,Delivered
O000039,C01760,D0440,11-07-2023,Cash,24,Cancelled
O000040,C04757,D0315,12-12-2023,Wallet,8,Cancelled
O000041,C01882,D0127,31-05-2024,UPI,53,Delivered
O000042,C03221,D0383,13-06-2024,Cash,13,Delivered
O000043,C03314,D0494,08-09-2022,UPI,8,Late
O000044,C00139,D0115,10-12-2021,Wallet,56,Late
O000045,C02873,D0120,14-05-2021,UPI,30,Late
O000046,C03249,D0124,29-06-2021,UPI,13,Delivered
O000047,C04374,D0309,12-04-2023,Cash,26,Late
O000048,C00776,D0085,22-10-2022,Card,33,Delivered
O000049,C03183,D0477,15-08-2022,UPI,11,Late
O000050,C03612,D0149,04-12-2023,Wallet,37,Cancelled
O000051,C02461,D0449,24-02-2024,Wallet,57,Cancelled
O000052,C04784,D0418,29-11-2023,Cash,40,Late
O000053,C04234,D0036,16-08-2023,UPI,49,Delivered
O000054,C03321,D0414,07-08-2021,UPI,11,Late
O000055,C03839,D0003,24-03-2025,UPI,36,Late
O000056,C01818,D0335,12-09-2023,Cash,44,Late
O000057,C04879,D0102,15-07-2025,Card,60,Delivered
O000058,C03639,D0271,31-07-2021,UPI,12,Late
O000059,C00874,D0294,11-12-2024,Wallet,11,Delivered
O000060,C02278,D0316,18-02-2021,Card,13,Late
O000061,C02348,D0151,26-06-2021,Cash,29,Cancelled
O000062,C03465,D0230,27-07-2022,Card,22,Delivered
O000063,C04252,D0156,21-09-2024,Wallet,52,Late
O000064,C03065,D0482,28-11-2021,Card,44,Delivered
O000065,C03933,D0398,24-10-2024,UPI,60,Delivered
O000066,C01919,D0185,15-05-2022,UPI,56,Delivered
O000067,C02549,D0317,23-11-2024,Card,32,Cancelled
O000068,C03312,D0179,16-03-2022,Wallet,53,Delivered
O000069,C03913,D0332,30-08-2025,Wallet,23,Delivered
O000070,C03723,D0111,09-03-2024,Cash,56,Late
O000071,C01268,D0140,04-11-2023,Wallet,53,Cancelled
O000072,C01248,D0476,06-02-2022,Cash,41,Late
O000073,C02700,D0497,16-09-2024,Card,47,Delivered
O000074,C03926,D0338,22-07-2025,Wallet,43,Late
O000075,C00758,D0134,07-12-2024,UPI,23,Late
O000076,C04723,D0103,09-06-2025,UPI,56,Late
O000077,C04989,D0200,21-06-2023,UPI,35,Delivered
O000078,C02993,D0187,20-02-2024,UPI,38,Delivered
O000079,C02617,D0237,29-05-2024,Card,15,Cancelled
O000080,C00995,D0199,07-10-2021,Cash,9,Late
O000081,C04813,D0286,08-06-2024,Card,31,Late
O000082,C03221,D0155,01-04-2023,Card,60,Cancelled
O000083,C04384,D0356,05-05-2024,Wallet,8,Delivered
O000084,C02425,D0340,10-07-2024,Cash,31,Late
O000085,C00041,D0434,25-11-2025,Card,46,Cancelled
O000086,C01945,D0129,16-09-2024,Card,38,Cancelled
O000087,C00812,D0371,13-01-2024,Wallet,33,Cancelled
O000088,C04778,D0495,06-11-2021,Cash,28,Delivered
O000089,C04951,D0427,12-10-2025,UPI,29,Delivered
O000090,C01423,D0200,20-04-2021,UPI,11,Cancelled
O000091,C00658,D0402,19-06-2025,UPI,50,Cancelled
O000092,C00454,D0043,03-08-2025,Cash,35,Delivered
O000093,C03402,D0037,29-09-2025,Wallet,20,Cancelled
O000094,C02113,D0404,01-06-2022,UPI,16,Delivered
O000095,C01893,D0001,07-04-2021,Card,49,Delivered
O000096,C04349,D0438,13-09-2022,Wallet,44,Cancelled
O000097,C00420,D0392,25-10-2024,Wallet,38,Delivered
O000098,C01611,D0346,23-03-2022,UPI,11,Late
O000099,C02150,D0271,13-09-2021,Wallet,51,Late
O000100,C02008,D0322,26-04-2023,Cash,28,Cancelled
O000101,C03433,D0036,25-05-2024,Card,16,Delivered
O000102,C04345,D0281,06-10-2021,Card,9,Late
O000103,C01748,D0385,17-06-2021,Wallet,60,Late
O000104,C00996,D0247,27-02-2023,UPI,48,Cancelled
O000105,C01830,D0425,01-03-2021,Card,20,Late
O000106,C02145,D0392,27-08-2021,Wallet,46,Delivered
O000107,C03470,D0260,23-01-2022,Cash,48,Cancelled
O000108,C04842,D0034,28-04-2023,Wallet,35,Late
O000109,C00123,D0429,15-05-2022,Card,22,Cancelled
O000110,C00555,D0366,16-03-2024,Card,50,Delivered
O000111,C02813,D0072,03-06-2025,Card,48,Late
O000112,C03721,D0467,28-07-2021,Card,32,Cancelled
